MOTORPH EMPLOYEE DIRECTORY
Generated on: 2025-07-04

Employee ID,Last Name,First Name,Position,Phone Number,Email,Address,Status,Hire Date
10010,"Alvaro","Roderick","Accounting Manager","053-381-386","#284 T. Morato corner Scout Rallos Street Quezon City","Regular"
10003,"Aquino","Bianca Sofia","Chief Finance Officer","966-889-370","Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100 Quezon City","Regular"
10009,"Atienza","Cristina","HR Rank and File","266-036-427","90A Dibbert Terrace Apt. 190 San Lorenzo 6056 Davao del Norte","Regular"
10016,"Bautista","Sandra","Account Team Leader","683-725-348","90 O'Keefe Spur Apt. 379 Catigbian 2772 Sulu","Regular"
10033,"Castro","Aurora","Systems Administrator","683-725-348","22A Lubowitz Meadows Pililla 4895 Zambales","Regular"
10024,"Cruz","Rafael","Cashier","836-050-317","22A Leannon Meadow Burgos 3355 Southern Leyte","Regular"
10021,"De Leon","Leila","Account Rank and File","786-868-477","47 Farrell Ridge Suite 588 Poblacion Caloocan 7142 Guimaras","Regular"
10025,"Domingo","Gloria","Disbursement Team Leader","070-784-123","72/97 Mayert Track Luisiana 1263 Dinagat Islands","Regular"
10022,"Fernandez","Carl","Budget Team Leader","684-809-682","75A/11 Jerde Meadow Burgos 4238 Albay","Regular"
10001,"Garcia","Manuel III","Chief Executive Officer","966-860-270","Valero Carpark Building Valero Street 1227 Makati City","Regular"
10036,"Gonzales","Macky","IT Support","097858627493","Bulacan","Regular"
10019,"Gutierrez","Rafael","Account Rank and File","687-620-489","93A/21 Berge Points Tapaz 2180 Quezon","Regular"
10005,"Hernandez","Eduard","IT Operations and Systems","088-861-012","National Highway Gingoog Misamis Occidental","Regular"
10035,"John Paul","Arquita","Clerk","9123456789","Davao CIty","Regular"
10002,"Lim","Antonio","Chief Operating Officer","171-867-411","San Antonio De Padua 2 Block 1 Lot 8 and 2 Dasmarinas Cavite","Regular"
10012,"Lopez","Christian","Payroll Team Leader","478-355-427","49 Springs Apt. 266 Poblacion Taguig 3200 Occidental Mindoro","Regular"
10034,"Martinez","Divina","Network Administrator","464-316-285","50A/83 San Juan St. Pantok Binangonan Rizal","Regular"
10027,"Mata","Christian","Budget Manager","975-262-837","442 Padberg Spring San Lorenzo 9866 Quirino","Regular"
10013,"Mendoza","Angelo","Payroll Rank and File","526-639-511","42/25 Sawayn Stream Ubay 1208 Zamboanga del Norte","Regular"
10030,"Mendoza","Emilio","Graphic Designer","975-432-139","316 Padberg Spring Limay 6024 Iloilo","Regular"
10028,"Mercado","Emma","Marketing Team Leader","269-720-406","89 Sporer Motorway Poblacion Palayan 5646 Quirino","Regular"
10020,"Montero","Rita","Account Rank and File","853-169-957","65 Murphy Centers Poblacion Palayan 5636 Quirino","Regular"
10029,"Navarro","Joshua","Marketing Staff","881-837-523","63 O'Keefe Heights Washington 1967 Camiguin","Regular"
10031,"Pineda","Christine","Content Writer","234-809-682","72A Armstrong Trace Compostela 7874 Maguindanao","Regular"
10018,"Ramos","Martha","Account Rank and File","975-432-139","08 Grant Drive Suite 406 Poblacion Iloilo City 9186 La Union","Regular"
10004,"Reyes","Isabella","Chief Marketing Officer","786-868-477","460 Solanda Street Intramuros 1000 Manila","Regular"
10008,"Romualdez","Fredrick","HR Rank and File","983-606-799","12A/33 Upton Isle Apt. 420 Roxas City 1814 Surigao del Norte","Regular"
10015,"Rosario","Cydney","Account Manager","877-110-749","22A/52 Lubowitz Meadows Pililla 4895 Zambales","Regular"
10011,"Salcedo","Anthony","Payroll Manager","070-766-300","93/54 Shanahan Alley Apt. 183 Santo Tomas 1572 Masbate","Regular"
10007,"San Jose","Brad","HR Team Leader","797-009-261","99 Strosin Hills Poblacion Bislig 5340 Tawi-Tawi","Regular"
10026,"Santiago","Selena","Billing Team Leader","778-377-830","80A/48 Gorczany Ridge Luisiana 1263 Dinagat Islands","Regular"
10014,"Santos","Angelica","Payroll Rank and File","329-034-366","37/46 Kulas Roads Maragondon 0962 Quirino","Regular"
10032,"Torres","Jayson","Junior Developer","834-860-270","72A Armstrong Trace Compostela 7874 Maguindanao","Regular"
10023,"Valdez","Jennie","Collector","070-766-300","17 Schmitt Avenue Mabini 4175 Laguna","Regular"
10006,"Villanueva","Andrea Mae","HR Manager","918-621-603","17/85 Stracke Via Suite 042 Poblacion Las Piñas 4783 Dinagat Islands","Regular"
10017,"Villanueva","Andrea Mae","Account Team Leader","179-835-694","89A Armstrong Trace Compostela 7874 Maguindanao","Regular"

Total Employees:,36
